id	modified	license	rightsHolder	bibliographicCitation	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	dynamicProperties	occurrenceID	catalogNumber	recordedBy	individualCount	sex	lifeStage	georeferenceVerificationStatus	preparations	associatedReferences	associatedTaxa	occurrenceRemarks	previousIdentifications	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	habitat	samplingProtocol	locationID	country	countryCode	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	identificationID	identificationQualifier	typeStatus	identifiedBy	taxonID	scientificNameID	acceptedNameUsageID	originalNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	taxonomicStatus	nomenclaturalStatus
044bc4dff8c1840aa507160520a1aa2d	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	225	514	044bc4dff8c1840aa507160520a1aa2d	BGBM	B	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Botanischer Garten und Botanisches Museum Berlin-Dahlem	MaterialCitation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 16/06/2005 07:22:18 p.m.	044bc4dff8c1840aa507160520a1aa2d	NO DISPONIBLE	Endl.						Trel. 1924. The American Oaks. Memoirs of the National Academy of Sciences. In: J. Cramer et H. K. Swann. 20:163. Government Printing Office. Washington, USA.				1365a	1906-09-09	00:00:00	252		1906	9	9			358	MEXICO	MX	DISTRITO FEDERAL	LA MAGDALENA CONTRERAS	CONTRERAS	0	0		0	0		19.3011111	-99.2908333		80	19 18 4 N	99 17 27 W	grados minutos segundos				Mapa, Guía roji, 1:400 000		125		NO APLICA	NO DISPONIBLE	8699509487dd87cc7055b847514172ec	21145			Quercus (Quercus) caeruleocarpa	Quercus (Quercus)  laurina	Quercus		Valencia-A., Flores-Franco, Jiménez-Ramírez & Mora-Jarvio, 2017		1924	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	caeruleocarpa		especie	Trel., 1924	capulincillo, chilillo, chiquinib (Tsotsil), encinillo, encino, encino amarillo, encino blanco, encino capulincillo, encino chino, encino colorado, encino dorado, encino jarillo, encino laurel, encino laurelillo, encino liso, encino manzanillo, encino nechilahue, encino pepitillo, encino prieto, encino roble, encino rojo, encino xicalahua, escobillo, laurelillo, manzanillo, nanyamai (Zoque), peinecillo, roble	sinónimo	
0a2461826adf66c674c72c43b920485c	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	128	368	0a2461826adf66c674c72c43b920485c	HU	GH	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Harvard University	MaterialCitation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 12/06/2005 05:37:21 p.m.	0a2461826adf66c674c72c43b920485c	NO DISPONIBLE	C. H. Mull.; M. T. Muller						C. H. Mull. 1936. Studies in the oaks of the mountains of northeastern Mexico. Journal of the Arnold Arboretum. 17:175. EUA.				1347	1934-08-15	00:00:00	227		1934	8	15			223	MEXICO	MX	NUEVO LEON	SANTIAGO	Cañón Guajuco alrededor de Villa Santiago	1300	0		0	0		25.2688889	-100.0844444		50	25 16 8 N	100 5 4 W	grados minutos segundos				Mapa, CONABIO		509		NO APLICA	NO DISPONIBLE	72e55afa5275251685e81cac32eae354	21051			Quercus (Quercus) canbyi f. attenuata	Quercus (Quercus)  canbyi	Quercus		Pérez Mojica & Valencia-A., 2017		1936	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus; canbyi	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	canbyi	attenuata	forma	C.H. Mull., 1936	encino, encino amarillo, encino blanco, encino chino, encino colorado, encino negro, encino rojo	sinónimo	
0e07ffbced78c0593f3ba7fe9e5e313e	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	137	383	0e07ffbced78c0593f3ba7fe9e5e313e	MOBOT	MO	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Missouri Botanical Garden	MaterialCitation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 13/06/2005 02:42:06 a.m.	0e07ffbced78c0593f3ba7fe9e5e313e	NO DISPONIBLE	Purpus						Trel. 1924. The American Oaks. Memoirs of the National Academy of Sciences. In: J. Cramer et H. K. Swann. 20:76. Government Printing Office. Washington, USA.				1794	1905-11	00:00:00			1905	11				141	MEXICO	MX	DISTRITO FEDERAL	CUAUHTEMOC	Salto del Agua, Dry hills	0	0		0	0		19.4216667	-99.1708333		80	19 25 18 N	99 10 15 W	grados minutos segundos				Mapa, SCT, 1: 400 000		38		NO APLICA	NO DISPONIBLE	8dbf00045653ab2264af0ecadc2a4e52	21187			Quercus (Quercus) purpusii	Quercus (Quercus)  rugosa	Quercus		Valencia-A., Flores-Franco, Jiménez-Ramírez & Mora-Jarvio, 2017		1924	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	purpusii		especie	Trel., 1924	asta, avellana, avellano, bellota de encino, chaparro, encinillo, encino, encino asta, encino blanco, encino chino, encino colorado, encino cuero, encino de asta, encino de hasta, encino de miel, encino laurelillo, encino liso, encino manzanillo, encino negro, encino prieto, encino quiebra hacha, encino roble, encino rojo, gu-hó (Chinanteco), hojancha, hojarasca, laurelillo, palo blanco, palo colorado, quiebra hacha, roble, roble blanco, roble prieto, saucillo, t-nuya (Zapoteco)	sinónimo	
5b7cbb14987f76d659f9bee6ae94e76e	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	348	703	5b7cbb14987f76d659f9bee6ae94e76e	NMNH-SI	US	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	National Museum of Natural History, Smithsonian Institution	HumanObservation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 13/06/2005 02:34:33 a.m.	5b7cbb14987f76d659f9bee6ae94e76e	301704	Rose						Trel. 1924. The American Oaks. Memoirs of the National Academy of Sciences. In: J. Cramer et H. K. Swann. 20:74. Government Printing Office. Washington, USA.				2806	1897-09-04	00:00:00	247		1897	9	4			312	MEXICO	MX	ZACATECAS	JEREZ	El Plateado	0	0		0	0		22.5833333	-103.0166667		70	22 35 0 N	103 1 0 W	grados minutos segundos				Gacetero, GEOLOCATE		30		NO APLICA	NO DISPONIBLE	7a4659fcb5400e9cb80c7218225ef222	21071			Quercus (Quercus) rhodophlebia	Quercus (Quercus)  rugosa	Quercus		Valencia-A., 2004		1924	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	rhodophlebia		especie	Trel., 1924	asta, avellana, avellano, bellota de encino, chaparro, encinillo, encino, encino asta, encino blanco, encino chino, encino colorado, encino cuero, encino de asta, encino de hasta, encino de miel, encino laurelillo, encino liso, encino manzanillo, encino negro, encino prieto, encino quiebra hacha, encino roble, encino rojo, gu-hó (Chinanteco), hojancha, hojarasca, laurelillo, palo blanco, palo colorado, quiebra hacha, roble, roble blanco, roble prieto, saucillo, t-nuya (Zapoteco)	sinónimo	
6fe177d8be4ed50ff1d309ac8661cc69	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	348	703	6fe177d8be4ed50ff1d309ac8661cc69	NMNH-SI	US	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	National Museum of Natural History, Smithsonian Institution	HumanObservation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 08/06/2005 06:31:24 p.m.	6fe177d8be4ed50ff1d309ac8661cc69	635606	Rose; Standl.; Russell						Trel. 1924. The American Oaks. Memoirs of the National Academy of Sciences. In: J. Cramer et H. K. Swann. 20:87. Government Printing Office. Washington, USA.				12788	1900-05-14	00:00:00	134		1900	5	14			297	MEXICO	MX	SONORA	ALAMOS	Sierra de Alamos	0	0		0	0		27.5841667	-109.0208333		60	27 35 3 N	109 1 15 W	grados minutos segundos				Mapa		34		NO APLICA	NO DISPONIBLE	de24e43e78655208bb458d087e4abf19	21058			Quercus (Quercus) infralutea	Quercus (Quercus)  chihuahuensis	Quercus		Valencia-A., 2004		1924	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	infralutea		especie	Trel., 1924	bellota de encino, chaparro, encino, encino blanco, encino chino, encino miscalme, encino negro, encino roble, palo blanco, rojá (Tarahumara), sajavó (Guarijío)	sinónimo	
792d01bf2f8ac06330a49c8667bbe14d	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	145	397	792d01bf2f8ac06330a49c8667bbe14d	NYBG	NY	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	New York Botanical Garden	HumanObservation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 03/11/2005 10:16:19 p.m.	792d01bf2f8ac06330a49c8667bbe14d	253695	G. S. Hinton						Warburg. 1939. Contributions to the flora of Tropical América. Plantae Hintonianae: X. The Genus Quercus. Kew Bullitin. 91. England.				6359		00:00:00								516	MEXICO	MX	MEXICO	TEMASCALTEPEC	Temascaltepec	0	0		0	0		18.9113889	-100.4733333		90	18 54 41 N	100 28 24 W	grados minutos segundos				Mapa, Guía roji, 1:400 000		343		NO APLICA	NO DISPONIBLE	11556e5fe7330337d9e7159a009eb0f5	21366			Quercus (Quercus) hintonii	Quercus (Quercus)  hintonii	Quercus		Valencia-A., 2004		1939	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	hintonii		especie	E.F. Warb., 1939	encino, encino blanco, encino prieto	aceptado	
9428cdc31afb0cdc859297bbec093bbb	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	387	756	9428cdc31afb0cdc859297bbec093bbb	CU	BH	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Cornell University	HumanObservation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 26/01/2006 03:14:28 a.m.	9428cdc31afb0cdc859297bbec093bbb	s.n.	C. H. Müll.										3582	1939-09-30	00:00:00	273		1939	9	30			544	MEXICO	MX	CHIHUAHUA	MADERA	Sierra más allá de Chuichupa	0	0		0	0		29.5847222	-108.3852778		60	29 35 5 N	108 23 7 W	grados minutos segundos				Mapa, INEGI, 1:1200 000		519		Holotipo	NO DISPONIBLE	0e51c75bf0a36bf918c84fe601d8d647	21329			Quercus (Quercus) albaefolia f. pectinata		Quercus		Nixon K. C. 1993		0	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus; albaefolia	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	albaefolia	pectinata	forma	C. H. Mull.			
95985447cf4f5854b92483009e3070ea	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	304	652	95985447cf4f5854b92483009e3070ea	RBG	K	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Royal Botanic Gardens, Kew	MaterialCitation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 15/06/2005 12:27:47 a.m.	95985447cf4f5854b92483009e3070ea	NO DISPONIBLE	Wright						Liebm. 1854. Om Egeslaegten i America. Oversight Kongelige danske Videnskabernes Selskabs Forhandlingar. (5 y 6). Alemania.				666		00:00:00								332	ESTADOS UNIDOS DE AMERICA		TEXAS		WEST TEXAS	0	0		0	0				WGS84		99 99 99 N ; 99 99 99 N	999 99 99 W ; 999 99 99 W	grados minutos segundos						120		NO APLICA	NO DISPONIBLE	f0b0ab6ee4a3175b4f787685078ceafd	21103			Quercus (Quercus) hastata	Quercus (Quercus)  emoryi	Quercus		Valencia-A., 2004		1854	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	hastata		especie	Liebm., 1854	bellota, encino, encino chino, encino colorado, encino negro, encino prieto, encino rojo	sinónimo	
96b10d4c535bb856db1cbcb2c45b6b21	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	225	514	96b10d4c535bb856db1cbcb2c45b6b21	BGBM	B	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Botanischer Garten und Botanisches Museum Berlin-Dahlem	MaterialCitation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 10/10/2005 09:34:00 p.m.	96b10d4c535bb856db1cbcb2c45b6b21	NO DISPONIBLE	Hartweg						Trel. 1924. The American Oaks. Memoirs of the National Academy of Sciences. In: J. Cramer et H. K. Swann. 20. Government Printing Office. Washington, USA.				420		00:00:00								103	MEXICO	MX	VERACRUZ DE IGNACIO DE LA LLAVE	HUATUSCO	Huatusco	0	0		0	0		19.1958333	-96.9541667		80	19 11 45 N	96 57 15 W	grados minutos segundos				Mapa, Guía roji, 1:1 000 000		571		NO APLICA	NO DISPONIBLE	43727d2c593b7a75df497928dfb03f57	21335			Quercus (Quercus) calophylla f. alamo	Quercus (Quercus)  calophylla	Quercus		Valencia-Avalos & Flores-Franco, 2006		1924	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus; calophylla	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	calophylla	alamo	forma	Trel., 1924	encino de asta	sinónimo	
d87a55dc42ba440a07a43674eb39597f	2021-03-19	CC-BY	Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)	Valencia A. S. y G. Flores-Franco. 2006. Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México. Herbario FCME. Facultad de Ciencias. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto CS008. México, D. F.	225	514	d87a55dc42ba440a07a43674eb39597f	BGBM	B	Catálogo de autoridad taxonómica del género Quercus, Fagaceae en México	Botanischer Garten und Botanisches Museum Berlin-Dahlem	MaterialCitation	Otros Datos Ejemplar / Capturista: Susana Otros Datos Ejemplar / FechaCapturaEjemplar: 08/06/2005 05:44:42 p.m.	d87a55dc42ba440a07a43674eb39597f	NO DISPONIBLE	Niederl.						Trel. 1924. The American Oaks. Memoirs of the National Academy of Sciences. In: J. Cramer et H. K. Swann. 20:152. Government Printing Office. Washington, USA.				NO DISPONIBLE	1898-07-09	00:00:00	190		1898	7	9			293	EL SALVADOR	SV			Volcán de San Salvador	2200	0		0	0		13.7580556	-89.3022222			13 45 29 N	89 18 8 W	grados minutos segundos				Mapa, MIV, 1:1 000 000		36		NO APLICA	NO DISPONIBLE	0c05f053db2865671033734226b2b9c1	21049			Quercus (Quercus) gemmata	Quercus (Quercus)  benthamii	Quercus		Valencia-A., 2004		1924	Plantae; Tracheophyta; Equisetopsida; Fagales; Fagaceae; Quercus	Plantae	Tracheophyta	Equisetopsida	Fagales	Fagaceae	Quercus	Quercus	gemmata		especie	Trel., 1924	chiquinib (Tsotsil), encino, roble	sinónimo	
