row,Perso,Caja,Codigo,Lugar,Encino,DUPLICADOS,ETIQUETA,Longitude_gps,Latitude_gps,codigo_gps,Pais,Estado,Municipio,Localidad,ALTITUD,Colectores,Fecha_colecta,Tipo_vegetacion,COMENTARIO
1,sofia,1,VER89,VERACRUZ,SI,1,NO,,,,,,,,,,,,
2,sofia,1,Tony_A4,VERACRUZ,SI,2,NO,,,,,,,,,,,,
3,sofia,1,VER_QINSIGNIS_PARCELA,VERACRUZ,SI,6,NO,,,,,,,,,,,,
4,sofia,1,QINSIGNIS_A8B,VERACRUZ,SI,1,NO,,,,,,,,,,,,
5,sofia,1,VER_QINSIGNIS_58,VERACRUZ,SI,3,NO,,,,,,,,,,,,
6,sofia,1,QINSIGNIS_PARCELA_C1,VERACRUZ,SI,3,NO,,,,,,,,,,,,
7,sofia,1,QSP2_PARCELA,VERACRUZ,SI,1,NO,,,,,,,,,,,,
8,sofia,1,QS3C,VERACRUZ,SI,1,NO,,,,,,,,,,,,
9,sofia,1,VER74,VERACRUZ,SI,2,NO,-96.98982,19.190748,VER74,,,,,,,,,
10,sofia,1,Q07,VERACRUZ,SI,1,SI,-96.987724,19.189873,Q07,,,,,,,,,
11,sofia,1,Q08,VERACRUZ,SI,1,SI,-96.969502,19.349344,Q08,,,,,,,,,
12,sofia,1,Q4_CANADAS,VERACRUZ,SI,1,NO,,,,,,,,,,,,
13,sofia,1,Q05,VERACRUZ,SI,1,SI,-96.988038,19.189998,Q05,,,,,,,,,
14,sofia,1,Q03,VERACRUZ,SI,1,NO,,,,,,,,,,,,COORD_EN_EJEMPLAR_VER_70
15,sofia,1,Q06,VERACRUZ,SI,1,SI,-96.987836,19.189838,Q06,,,,,,,,,
16,sofia,1,Q01,VERACRUZ,SI,1,SI,-96.984643,19.188988,Q01,,,,,,,,,
17,sofia,1,Q09,VERACRUZ,SI,1,SI,-96.959941,19.347849,Q09,,,,,,,,,COORD_EN_Q08
