"","id_ejemplar","id_individuo","codigo_colecta","estado","latitud","longitud","Localizacion","Fecha_colecta","id_foto"
"1",1163,649,NA,"Chihuahua",27.59712,-107.78151,13,2022-09-24,"MXCHH1163"
"2",1164,649,NA,"Chihuahua",27.59712,-107.78151,13,2022-09-24,"MXCHH1164"
"3",1165,650,NA,"Chihuahua",27.59696,-107.78106,13,2022-09-24,"MXCHH1165"
"4",1166,650,NA,"Chihuahua",27.59696,-107.78106,13,2022-09-24,"MXCHH1166"
"5",1167,650,NA,"Chihuahua",27.59696,-107.78106,13,2022-09-24,"MXCHH1167"
"6",1168,651,NA,"Chihuahua",27.5963,-107.78048,13,2022-09-24,"MXCHH1168"
"7",1169,651,NA,"Chihuahua",27.5963,-107.78048,13,2022-09-24,"MXCHH1169"
"8",1170,651,NA,"Chihuahua",27.5963,-107.78048,13,2022-09-24,"MXCHH1170"
"9",1171,652,NA,"Chihuahua",27.59625,-107.78022,13,2022-09-24,"MXCHH1171"
"10",1172,652,NA,"Chihuahua",27.59625,-107.78022,13,2022-09-24,"MXCHH1172"
"11",1173,653,NA,"Chihuahua",27.59374,-107.77716,13,2022-09-24,"MXCHH1173"
"12",1174,653,NA,"Chihuahua",27.59374,-107.77716,13,2022-09-24,"MXCHH1174"
"13",1175,653,NA,"Chihuahua",27.59374,-107.77716,13,2022-09-24,"MXCHH1175"
"14",1176,654,NA,"Chihuahua",27.59085,-107.77436,13,2022-09-24,"MXCHH1176"
"15",1177,654,NA,"Chihuahua",27.59085,-107.77436,13,2022-09-24,"MXCHH1177"
"16",1178,654,NA,"Chihuahua",27.59085,-107.77436,13,2022-09-24,"MXCHH1178"
"17",1179,655,NA,"Chihuahua",27.58994,-107.77398,13,2022-09-24,"MXCHH1179"
"18",1180,655,NA,"Chihuahua",27.58994,-107.77398,13,2022-09-24,"MXCHH1180"
"19",1181,655,NA,"Chihuahua",27.58994,-107.77398,13,2022-09-24,"MXCHH1181"
