,id_individuo,observaciones,comentarios
1,1,"Tipo de vegetación pino encino, frecuencia alta",http://www.tropicos.org/Home.aspx
2,1,"Tipo de vegetación pino encino, frecuencia alta",http://www.tropicos.org/Home.aspx
3,2,"Tipo de vegetación pino encino, tamaño 17m, Frecuencia alta",NA
4,3,"Tipo de vegetación pino encino, tamaño 15m",NA
5,4,"Tipo de vegetación pino encino, tamaño 12m",NA
6,4,"Tipo de vegetación pino encino, tamaño 12m",NA
7,5,Tipo de vegetación pino encino,NA
8,6,"Tipo de vegetación pino encino, Frecuencia alta",NA
9,7,Frecuencia alta,NA
10,7,Frecuencia alta,NA
11,8,"Tipo de vegetación pino encino, Frecuencia alta",NA
12,9,"Tipo de vegetación pino encino, Frecuencia alta",NA
13,10,Frecuencia alta,NA
14,300,Tipo de vegetación pino encino,NA
15,11,"Tipo de vegetación pino encino, Frecuencia alta",NA
16,12,"Tipo de vegetación pino encino, Frecuencia alta",NA
17,13,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
18,13,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
19,14,"Tipo de vegetación potreros, frecuencia alta, tamaño 15m",NA
20,15,"Tipo de vegetación potreros, cultivos, frecuencia alta, tamaño 20m",NA
21,15,"Tipo de vegetación potreros, cultivos, frecuencia alta, tamaño 20m",NA
22,16,"Tipo de vegetación pino encino, frecuencia alta",NA
23,17,"Tipo de vegetación pino encino, frecuencia alta",NA
24,18,"Tipo de vegetación pino encino, frecuencia alta",NA
25,19,"Tipo de vegetación pino encino, frecuencia alta",NA
26,20,"Tipo de vegetación pino encino, frecuencia alta",NA
27,21,"Tipo de vegetación pino encino, frecuencia alta",NA
28,22,"Tipo de vegetación pino encino , frecuencia alta",NA
29,23,Tipo de vegetación pino encino,NA
30,30,"Tipo de vegetación pino encino, frecuencia alta",NA
31,31,"Tipo de vegetación pino encino, frecuencia alta",NA
32,32,"Tipo de vegetación pino encino, frecuencia alta",NA
33,33,"Tipo de vegetación pino encino, frecuencia alta",NA
34,34,"Tipo de vegetación pino encino, frecuencia alta",NA
35,35,NA,NA
36,36,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
37,37,NA,NA
38,39,"Tipo de vegetación pino encino, frecuencia alta",NA
39,40,"Tipo de vegetación pino encino, frecuencia alta",NA
40,41,"Tipo de vegetación pino encino, frecuencia alta",NA
41,42,"Tipo de vegetación pino encino, frecuencia alta",NA
42,43,"Tipo de vegetación pino encino, frecuencia alta",NA
43,44,"Tipo de vegetación pino encino, frecuencia alta",NA
44,45,"Tipo de vegetación pino encino, frecuencia alta",NA
45,46,"Tipo de vegetación pino encino, frecuencia alta",NA
46,47,"Tipo de vegetación pino encino, frecuencia alta",NA
47,48,"Tipo de vegetación pino encino, frecuencia alta",NA
48,49,"Tipo de vegetación pino encino, frecuencia alta",NA
49,50,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
50,51,"Tipo de vegetación pino encino, frecuencia alta, tamaño 15m",NA
51,52,"Tipo de vegetaciòn cafetal, frecuencia alta",NA
52,299,"Tipo de vegetaciòn bosque mesófilo, frecuencia alta",NA
53,53,"Tipo de vegetación cafetal, frecuencia alta",NA
54,54,Frecuencia alta,NA
55,55,"Tipo de vegetacion bosque mesófilo, frecuencia alta",NA
56,56,"Tipo de vegetación bosque mesófilo, frecuencia alta",NA
