"row";"caja";"codigo_colecta";"codigo_foto";"Presencia_Etiqueta";"Imprimir_etiquetas";"Familia";"Nombre_cientifico";"Localidad";"Municipio";"Estado";"Pais";"Latitud";"Longitud";"Altitud";"Tipo_vegetacion";"Colectores";"Fecha_colecta";"Comentarios"
1;7;"SMF05";NA;"NO";2;"Fagaceae";"Quercus";"Peña Blanca";"Concepción Pápalo";"Oaxaca";"México";17.882263;-96.8193166;2583;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-07;NA
1;7;"SMF05";NA;"NO";2;"Fagaceae";"Quercus";"Peña Blanca";"Concepción Pápalo";"Oaxaca";"México";17.882263;-96.8193166;2583;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-07;NA
2;7;"SMF04";NA;"NO";1;"Fagaceae";"Quercus";"Peña Blanca";"Concepción Pápalo";"Oaxaca";"México";17.882397;-96.8191634;2583;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-08;NA
3;7;"6685";NA;"NO";2;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.745;-95.469;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
3;7;"6685";NA;"NO";2;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.745;-95.469;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
4;7;"6686";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.676;-95.387;NA;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
4;7;"6686";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.676;-95.387;NA;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
4;7;"6686";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.676;-95.387;NA;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
5;7;"6687";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.745;-95.469;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
5;7;"6687";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.745;-95.469;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
5;7;"6687";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.745;-95.469;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
6;7;"6697";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.744;-95.467;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
6;7;"6697";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.744;-95.467;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
6;7;"6697";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.744;-95.467;1326;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
7;7;"6706";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.74;-95.465;1096;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
7;7;"6706";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.74;-95.465;1096;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
7;7;"6706";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.74;-95.465;1096;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
8;7;"SRBC09";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.8546057;-95.2952376;587;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
8;7;"SRBC09";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.8546057;-95.2952376;587;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
8;7;"SRBC09";NA;"NO";3;"Fagaceae";"Quercus";"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.8546057;-95.2952376;587;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
9;7;"6707";NA;"NO";1;NA;NA;"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.724;-95.444;938;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
10;7;"6708";NA;"NO";1;NA;NA;"Santa María Guienagati";"Santa María Guienagati";"Oaxaca";"México";16.724;-95.444;938;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
11;7;"SAC05";NA;"NO";3;"Fagaceae";"Quercus";"Dolores";"Dolores";"Petén";"Guatemala";16.495455;-89.27055;597;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
11;7;"SAC05";NA;"NO";3;"Fagaceae";"Quercus";"Dolores";"Dolores";"Petén";"Guatemala";16.495455;-89.27055;597;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
11;7;"SAC05";NA;"NO";3;"Fagaceae";"Quercus";"Dolores";"Dolores";"Petén";"Guatemala";16.495455;-89.27055;597;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-11;NA
12;7;"LACHI01";NA;"NO";3;"Fagaceae";"Quercus";"San Isidro Lachigushe";"Santa María Guienagati";"Oaxaca";"México";16.797625;-95.287122;960;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-12;"Quercus_skinneri"
12;7;"LACHI01";NA;"NO";3;"Fagaceae";"Quercus";"San Isidro Lachigushe";"Santa María Guienagati";"Oaxaca";"México";16.797625;-95.287122;960;NA;"Hernando Alonso Rodríguez Correa, Sofia Zorrilla Azcué, Lizeth Melissa Naranjo Bravo, Yesenia Margarita Vega y Sergio Marrugo Rondon";2021-12-12;"Quercus_skinneri"
